Date,Currency,Exchange
02/16/2024,EUR,0.92
02/16/2024,GBP,0.79
02/17/2024,USD,1.0
02/17/2024,CAD,1.32
02/17/2024,AUD,1.55
02/17/2024,EUR,0.92
02/17/2024,GBP,0.79
02/18/2024,USD,1.0
02/18/2024,CAD,1.32
02/18/2024,AUD,1.55
02/18/2024,EUR,0.92
02/18/2024,GBP,0.79
02/19/2024,USD,1.0
02/19/2024,CAD,1.32
02/19/2024,AUD,1.55
02/19/2024,EUR,0.92
02/19/2024,GBP,0.79
02/20/2024,USD,1.0
02/20/2024,CAD,1.32
02/20/2024,AUD,1.55
02/20/2024,EUR,0.92
02/20/2024,GBP,0.79
02/21/2024,USD,1.0
02/21/2024,CAD,1.32
02/21/2024,AUD,1.55
02/21/2024,EUR,0.92
02/21/2024,GBP,0.79
02/22/2024,USD,1.0
02/22/2024,CAD,1.32
02/22/2024,AUD,1.55
02/22/2024,EUR,0.92
02/22/2024,GBP,0.79
02/23/2024,USD,1.0
02/23/2024,CAD,1.32
02/23/2024,AUD,1.55
02/23/2024,EUR,0.92
02/23/2024,GBP,0.79
02/24/2024,USD,1.0
02/24/2024,CAD,1.32
02/24/2024,AUD,1.55
02/24/2024,EUR,0.92
02/24/2024,GBP,0.79
02/25/2024,USD,1.0
02/25/2024,CAD,1.32
02/25/2024,AUD,1.55
02/25/2024,EUR,0.92
02/25/2024,GBP,0.79
02/26/2024,USD,1.0
02/26/2024,CAD,1.32
02/26/2024,AUD,1.55
02/26/2024,EUR,0.92
02/26/2024,GBP,0.79
02/27/2024,USD,1.0
02/27/2024,CAD,1.32
02/27/2024,AUD,1.55
02/27/2024,EUR,0.92
02/27/2024,GBP,0.79
02/28/2024,USD,1.0
02/28/2024,CAD,1.32
02/28/2024,AUD,1.55
02/28/2024,EUR,0.92
02/28/2024,GBP,0.79
02/29/2024,USD,1.0
02/29/2024,CAD,1.32
02/29/2024,AUD,1.55
02/29/2024,EUR,0.92
02/29/2024,GBP,0.79
03/01/2024,USD,1.0
03/01/2024,CAD,1.32
03/01/2024,AUD,1.55
03/01/2024,EUR,0.92
03/01/2024,GBP,0.79
03/02/2024,USD,1.0
03/02/2024,CAD,1.32
03/02/2024,AUD,1.55
03/02/2024,EUR,0.92
03/02/2024,GBP,0.79
03/03/2024,USD,1.0
03/03/2024,CAD,1.32
03/03/2024,AUD,1.55
03/03/2024,EUR,0.92
03/03/2024,GBP,0.79
03/04/2024,USD,1.0
03/04/2024,CAD,1.32
03/04/2024,AUD,1.55
03/04/2024,EUR,0.92
03/04/2024,GBP,0.79
03/05/2024,USD,1.0
03/05/2024,CAD,1.32
03/05/2024,AUD,1.55
03/05/2024,EUR,0.92
03/05/2024,GBP,0.79
03/06/2024,USD,1.0
03/06/2024,CAD,1.32
03/06/2024,AUD,1.55
03/06/2024,EUR,0.92
03/06/2024,GBP,0.79
03/07/2024,USD,1.0
03/07/2024,CAD,1.32
03/07/2024,AUD,1.55
03/07/2024,EUR,0.92
03/07/2024,GBP,0.79
03/08/2024,USD,1.0
03/08/2024,CAD,1.32
03/08/2024,AUD,1.55
03/08/2024,EUR,0.92
03/08/2024,GBP,0.79
03/09/2024,USD,1.0
03/09/2024,CAD,1.32
03/09/2024,AUD,1.55
03/09/2024,EUR,0.92
03/09/2024,GBP,0.79
03/10/2024,USD,1.0
03/10/2024,CAD,1.32
03/10/2024,AUD,1.55
03/10/2024,EUR,0.92
03/10/2024,GBP,0.79
03/11/2024,USD,1.0
03/11/2024,CAD,1.32
03/11/2024,AUD,1.55
03/11/2024,EUR,0.92
03/11/2024,GBP,0.79
03/12/2024,USD,1.0
03/12/2024,CAD,1.32
03/12/2024,AUD,1.55
03/12/2024,EUR,0.92
03/12/2024,GBP,0.79
03/13/2024,USD,1.0
03/13/2024,CAD,1.32
03/13/2024,AUD,1.55
03/13/2024,EUR,0.92
03/13/2024,GBP,0.79
03/14/2024,USD,1.0
03/14/2024,CAD,1.32
03/14/2024,AUD,1.55
03/14/2024,EUR,0.92
03/14/2024,GBP,0.79
03/15/2024,USD,1.0
03/15/2024,CAD,1.32
03/15/2024,AUD,1.55
03/15/2024,EUR,0.92
03/15/2024,GBP,0.79
03/16/2024,USD,1.0
03/16/2024,CAD,1.32
03/16/2024,AUD,1.55
03/16/2024,EUR,0.92
03/16/2024,GBP,0.79
03/17/2024,USD,1.0
03/17/2024,CAD,1.32
03/17/2024,AUD,1.55
03/17/2024,EUR,0.92
03/17/2024,GBP,0.79
03/18/2024,USD,1.0
03/18/2024,CAD,1.32
03/18/2024,AUD,1.55
03/18/2024,EUR,0.92
03/18/2024,GBP,0.79
03/19/2024,USD,1.0
03/19/2024,CAD,1.32
03/19/2024,AUD,1.55
03/19/2024,EUR,0.92
03/19/2024,GBP,0.79
03/20/2024,USD,1.0
03/20/2024,CAD,1.32
03/20/2024,AUD,1.55
03/20/2024,EUR,0.92
03/20/2024,GBP,0.79
03/21/2024,USD,1.0
03/21/2024,CAD,1.32
03/21/2024,AUD,1.55
03/21/2024,EUR,0.92
03/21/2024,GBP,0.79
03/22/2024,USD,1.0
03/22/2024,CAD,1.32
03/22/2024,AUD,1.55
03/22/2024,EUR,0.92
03/22/2024,GBP,0.79
03/23/2024,USD,1.0
03/23/2024,CAD,1.32
03/23/2024,AUD,1.55
03/23/2024,EUR,0.92
03/23/2024,GBP,0.79
03/24/2024,USD,1.0
03/24/2024,CAD,1.32
03/24/2024,AUD,1.55
03/24/2024,EUR,0.92
03/24/2024,GBP,0.79
03/25/2024,USD,1.0
03/25/2024,CAD,1.32
03/25/2024,AUD,1.55
03/25/2024,EUR,0.92
03/25/2024,GBP,0.79
03/26/2024,USD,1.0
03/26/2024,CAD,1.32
03/26/2024,AUD,1.55
03/26/2024,EUR,0.92
03/26/2024,GBP,0.79
03/27/2024,USD,1.0
03/27/2024,CAD,1.32
03/27/2024,AUD,1.55
03/27/2024,EUR,0.92
03/27/2024,GBP,0.79
03/28/2024,USD,1.0
03/28/2024,CAD,1.32
03/28/2024,AUD,1.55
03/28/2024,EUR,0.92
03/28/2024,GBP,0.79
03/29/2024,USD,1.0
03/29/2024,CAD,1.32
03/29/2024,AUD,1.55
03/29/2024,EUR,0.92
03/29/2024,GBP,0.79
03/30/2024,USD,1.0
03/30/2024,CAD,1.32
03/30/2024,AUD,1.55
03/30/2024,EUR,0.92
03/30/2024,GBP,0.79
03/31/2024,USD,1.0
03/31/2024,CAD,1.32
03/31/2024,AUD,1.55
03/31/2024,EUR,0.92
03/31/2024,GBP,0.79
04/01/2024,USD,1.0
04/01/2024,CAD,1.32
04/01/2024,AUD,1.55
04/01/2024,EUR,0.92
04/01/2024,GBP,0.79
04/02/2024,USD,1.0
04/02/2024,CAD,1.32
04/02/2024,AUD,1.55
04/02/2024,EUR,0.92
04/02/2024,GBP,0.79
04/03/2024,USD,1.0
04/03/2024,CAD,1.32
04/03/2024,AUD,1.55
04/03/2024,EUR,0.92
04/03/2024,GBP,0.79
04/04/2024,USD,1.0
04/04/2024,CAD,1.32
04/04/2024,AUD,1.55
04/04/2024,EUR,0.92
04/04/2024,GBP,0.79
04/05/2024,USD,1.0
04/05/2024,CAD,1.32
04/05/2024,AUD,1.55
04/05/2024,EUR,0.92
04/05/2024,GBP,0.79
04/06/2024,USD,1.0
04/06/2024,CAD,1.32
04/06/2024,AUD,1.55
04/06/2024,EUR,0.92
04/06/2024,GBP,0.79
04/07/2024,USD,1.0
04/07/2024,CAD,1.32
04/07/2024,AUD,1.55
04/07/2024,EUR,0.92
04/07/2024,GBP,0.79
04/08/2024,USD,1.0
04/08/2024,CAD,1.32
04/08/2024,AUD,1.55
04/08/2024,EUR,0.92
04/08/2024,GBP,0.79
04/09/2024,USD,1.0
04/09/2024,CAD,1.32
04/09/2024,AUD,1.55
04/09/2024,EUR,0.92
04/09/2024,GBP,0.79
04/10/2024,USD,1.0
04/10/2024,CAD,1.32
04/10/2024,AUD,1.55
04/10/2024,EUR,0.92
04/10/2024,GBP,0.79
04/11/2024,USD,1.0
04/11/2024,CAD,1.32
04/11/2024,AUD,1.55
04/11/2024,EUR,0.92
04/11/2024,GBP,0.79
04/12/2024,USD,1.0
04/12/2024,CAD,1.32
04/12/2024,AUD,1.55
04/12/2024,EUR,0.92
04/12/2024,GBP,0.79
04/13/2024,USD,1.0
04/13/2024,CAD,1.32
04/13/2024,AUD,1.55
04/13/2024,EUR,0.92
04/13/2024,GBP,0.79
04/14/2024,USD,1.0
04/14/2024,CAD,1.32
04/14/2024,AUD,1.55
04/14/2024,EUR,0.92
04/14/2024,GBP,0.79
04/15/2024,USD,1.0
04/15/2024,CAD,1.32
04/15/2024,AUD,1.55
04/15/2024,EUR,0.92
04/15/2024,GBP,0.79
04/16/2024,USD,1.0
04/16/2024,CAD,1.32
04/16/2024,AUD,1.55
04/16/2024,EUR,0.92
04/16/2024,GBP,0.79
04/17/2024,USD,1.0
04/17/2024,CAD,1.32
04/17/2024,AUD,1.55
04/17/2024,EUR,0.92
04/17/2024,GBP,0.79
04/18/2024,USD,1.0
04/18/2024,CAD,1.32
04/18/2024,AUD,1.55
04/18/2024,EUR,0.92
04/18/2024,GBP,0.79
04/19/2024,USD,1.0
04/19/2024,CAD,1.32
04/19/2024,AUD,1.55
04/19/2024,EUR,0.92
04/19/2024,GBP,0.79
04/20/2024,USD,1.0
04/20/2024,CAD,1.32
04/20/2024,AUD,1.55
04/20/2024,EUR,0.92
04/20/2024,GBP,0.79
04/21/2024,USD,1.0
04/21/2024,CAD,1.32
04/21/2024,AUD,1.55
04/21/2024,EUR,0.92
04/21/2024,GBP,0.79
04/22/2024,USD,1.0
04/22/2024,CAD,1.32
04/22/2024,AUD,1.55
04/22/2024,EUR,0.92
04/22/2024,GBP,0.79
04/23/2024,USD,1.0
04/23/2024,CAD,1.32
04/23/2024,AUD,1.55
04/23/2024,EUR,0.92
04/23/2024,GBP,0.79
04/24/2024,USD,1.0
04/24/2024,CAD,1.32
04/24/2024,AUD,1.55
04/24/2024,EUR,0.92
04/24/2024,GBP,0.79
04/25/2024,USD,1.0
04/25/2024,CAD,1.32
04/25/2024,AUD,1.55
04/25/2024,EUR,0.92
04/25/2024,GBP,0.79
04/26/2024,USD,1.0
04/26/2024,CAD,1.32
04/26/2024,AUD,1.55
04/26/2024,EUR,0.92
04/26/2024,GBP,0.79
04/27/2024,USD,1.0
04/27/2024,CAD,1.32
04/27/2024,AUD,1.55
04/27/2024,EUR,0.92
04/27/2024,GBP,0.79
04/28/2024,USD,1.0
04/28/2024,CAD,1.32
04/28/2024,AUD,1.55
04/28/2024,EUR,0.92
04/28/2024,GBP,0.79
04/29/2024,USD,1.0
04/29/2024,CAD,1.32
04/29/2024,AUD,1.55
04/29/2024,EUR,0.92
04/29/2024,GBP,0.79
04/30/2024,USD,1.0
04/30/2024,CAD,1.32
04/30/2024,AUD,1.55
04/30/2024,EUR,0.92
04/30/2024,GBP,0.79
05/01/2024,USD,1.0
05/01/2024,CAD,1.32
05/01/2024,AUD,1.55
05/01/2024,EUR,0.92
05/01/2024,GBP,0.79
05/02/2024,USD,1.0
05/02/2024,CAD,1.32
05/02/2024,AUD,1.55
05/02/2024,EUR,0.92
05/02/2024,GBP,0.79
05/03/2024,USD,1.0
05/03/2024,CAD,1.32
05/03/2024,AUD,1.55
05/03/2024,EUR,0.92
05/03/2024,GBP,0.79
05/04/2024,USD,1.0
05/04/2024,CAD,1.32
05/04/2024,AUD,1.55
05/04/2024,EUR,0.92
05/04/2024,GBP,0.79
05/05/2024,USD,1.0
05/05/2024,CAD,1.32
05/05/2024,AUD,1.55
05/05/2024,EUR,0.92
05/05/2024,GBP,0.79
05/06/2024,USD,1.0
05/06/2024,CAD,1.32
05/06/2024,AUD,1.55
05/06/2024,EUR,0.92
05/06/2024,GBP,0.79
05/07/2024,USD,1.0
05/07/2024,CAD,1.32
05/07/2024,AUD,1.55
05/07/2024,EUR,0.92
05/07/2024,GBP,0.79
05/08/2024,USD,1.0
05/08/2024,CAD,1.32
05/08/2024,AUD,1.55
05/08/2024,EUR,0.92
05/08/2024,GBP,0.79
05/09/2024,USD,1.0
05/09/2024,CAD,1.32
05/09/2024,AUD,1.55
05/09/2024,EUR,0.92
05/09/2024,GBP,0.79
05/10/2024,USD,1.0
05/10/2024,CAD,1.32
05/10/2024,AUD,1.55
05/10/2024,EUR,0.92
05/10/2024,GBP,0.79
05/11/2024,USD,1.0
05/11/2024,CAD,1.32
05/11/2024,AUD,1.55
05/11/2024,EUR,0.92
05/11/2024,GBP,0.79
05/12/2024,USD,1.0
05/12/2024,CAD,1.32
05/12/2024,AUD,1.55
05/12/2024,EUR,0.92
05/12/2024,GBP,0.79
05/13/2024,USD,1.0
05/13/2024,CAD,1.32
05/13/2024,AUD,1.55
05/13/2024,EUR,0.92
05/13/2024,GBP,0.79
05/14/2024,USD,1.0
05/14/2024,CAD,1.32
05/14/2024,AUD,1.55
05/14/2024,EUR,0.92
05/14/2024,GBP,0.79
05/15/2024,USD,1.0
05/15/2024,CAD,1.32
05/15/2024,AUD,1.55
05/15/2024,EUR,0.92
05/15/2024,GBP,0.79
05/16/2024,USD,1.0
05/16/2024,CAD,1.32
05/16/2024,AUD,1.55
05/16/2024,EUR,0.92
05/16/2024,GBP,0.79
05/17/2024,USD,1.0
05/17/2024,CAD,1.32
05/17/2024,AUD,1.55
05/17/2024,EUR,0.92
05/17/2024,GBP,0.79
05/18/2024,USD,1.0
05/18/2024,CAD,1.32
05/18/2024,AUD,1.55
05/18/2024,EUR,0.92
05/18/2024,GBP,0.79
05/19/2024,USD,1.0
05/19/2024,CAD,1.32
05/19/2024,AUD,1.55
05/19/2024,EUR,0.92
05/19/2024,GBP,0.79
05/20/2024,USD,1.0
05/20/2024,CAD,1.32
05/20/2024,AUD,1.55
05/20/2024,EUR,0.92
05/20/2024,GBP,0.79
05/21/2024,USD,1.0
05/21/2024,CAD,1.32
05/21/2024,AUD,1.55
05/21/2024,EUR,0.92
05/21/2024,GBP,0.79
05/22/2024,USD,1.0
05/22/2024,CAD,1.32
05/22/2024,AUD,1.55
05/22/2024,EUR,0.92
05/22/2024,GBP,0.79
05/23/2024,USD,1.0
05/23/2024,CAD,1.32
05/23/2024,AUD,1.55
05/23/2024,EUR,0.92
05/23/2024,GBP,0.79
05/24/2024,USD,1.0
05/24/2024,CAD,1.32
05/24/2024,AUD,1.55
05/24/2024,EUR,0.92
05/24/2024,GBP,0.79
05/25/2024,USD,1.0
05/25/2024,CAD,1.32
05/25/2024,AUD,1.55
05/25/2024,EUR,0.92
05/25/2024,GBP,0.79
05/26/2024,USD,1.0
05/26/2024,CAD,1.32
05/26/2024,AUD,1.55
05/26/2024,EUR,0.92
05/26/2024,GBP,0.79
05/27/2024,USD,1.0
05/27/2024,CAD,1.32
05/27/2024,AUD,1.55
05/27/2024,EUR,0.92
05/27/2024,GBP,0.79
05/28/2024,USD,1.0
05/28/2024,CAD,1.32
05/28/2024,AUD,1.55
05/28/2024,EUR,0.92
05/28/2024,GBP,0.79
05/29/2024,USD,1.0
05/29/2024,CAD,1.32
05/29/2024,AUD,1.55
05/29/2024,EUR,0.92
05/29/2024,GBP,0.79
05/30/2024,USD,1.0
05/30/2024,CAD,1.32
05/30/2024,AUD,1.55
05/30/2024,EUR,0.92
05/30/2024,GBP,0.79
05/31/2024,USD,1.0
05/31/2024,CAD,1.32
05/31/2024,AUD,1.55
05/31/2024,EUR,0.92
05/31/2024,GBP,0.79
06/01/2024,USD,1.0
06/01/2024,CAD,1.32
06/01/2024,AUD,1.55
06/01/2024,EUR,0.92
06/01/2024,GBP,0.79
06/02/2024,USD,1.0
06/02/2024,CAD,1.32
06/02/2024,AUD,1.55
06/02/2024,EUR,0.92
06/02/2024,GBP,0.79
06/03/2024,USD,1.0
06/03/2024,CAD,1.32
06/03/2024,AUD,1.55
06/03/2024,EUR,0.92
06/03/2024,GBP,0.79
06/04/2024,USD,1.0
06/04/2024,CAD,1.32
06/04/2024,AUD,1.55
06/04/2024,EUR,0.92
06/04/2024,GBP,0.79
06/05/2024,USD,1.0
06/05/2024,CAD,1.32
06/05/2024,AUD,1.55
06/05/2024,EUR,0.92
06/05/2024,GBP,0.79
06/06/2024,USD,1.0
06/06/2024,CAD,1.32
06/06/2024,AUD,1.55
06/06/2024,EUR,0.92
06/06/2024,GBP,0.79
06/07/2024,USD,1.0
06/07/2024,CAD,1.32
06/07/2024,AUD,1.55
06/07/2024,EUR,0.92
06/07/2024,GBP,0.79
06/08/2024,USD,1.0
06/08/2024,CAD,1.32
06/08/2024,AUD,1.55
06/08/2024,EUR,0.92
06/08/2024,GBP,0.79
06/09/2024,USD,1.0
06/09/2024,CAD,1.32
06/09/2024,AUD,1.55
06/09/2024,EUR,0.92
06/09/2024,GBP,0.79
06/10/2024,USD,1.0
06/10/2024,CAD,1.32
06/10/2024,AUD,1.55
06/10/2024,EUR,0.92
06/10/2024,GBP,0.79
06/11/2024,USD,1.0
06/11/2024,CAD,1.32
06/11/2024,AUD,1.55
06/11/2024,EUR,0.92
06/11/2024,GBP,0.79
06/12/2024,USD,1.0
06/12/2024,CAD,1.32
06/12/2024,AUD,1.55
06/12/2024,EUR,0.92
06/12/2024,GBP,0.79
06/13/2024,USD,1.0
06/13/2024,CAD,1.32
06/13/2024,AUD,1.55
06/13/2024,EUR,0.92
06/13/2024,GBP,0.79
06/14/2024,USD,1.0
06/14/2024,CAD,1.32
06/14/2024,AUD,1.55
06/14/2024,EUR,0.92
06/14/2024,GBP,0.79
06/15/2024,USD,1.0
06/15/2024,CAD,1.32
06/15/2024,AUD,1.55
06/15/2024,EUR,0.92
06/15/2024,GBP,0.79
06/16/2024,USD,1.0
06/16/2024,CAD,1.32
06/16/2024,AUD,1.55
06/16/2024,EUR,0.92
06/16/2024,GBP,0.79
06/17/2024,USD,1.0
06/17/2024,CAD,1.32
06/17/2024,AUD,1.55
06/17/2024,EUR,0.92
06/17/2024,GBP,0.79
06/18/2024,USD,1.0
06/18/2024,CAD,1.32
06/18/2024,AUD,1.55
06/18/2024,EUR,0.92
06/18/2024,GBP,0.79
06/19/2024,USD,1.0
06/19/2024,CAD,1.32
06/19/2024,AUD,1.55
06/19/2024,EUR,0.92
06/19/2024,GBP,0.79
06/20/2024,USD,1.0
06/20/2024,CAD,1.32
06/20/2024,AUD,1.55
06/20/2024,EUR,0.92
06/20/2024,GBP,0.79
06/21/2024,USD,1.0
06/21/2024,CAD,1.32
06/21/2024,AUD,1.55
06/21/2024,EUR,0.92
06/21/2024,GBP,0.79
06/22/2024,USD,1.0
06/22/2024,CAD,1.32
06/22/2024,AUD,1.55
06/22/2024,EUR,0.92
06/22/2024,GBP,0.79
06/23/2024,USD,1.0
06/23/2024,CAD,1.32
06/23/2024,AUD,1.55
06/23/2024,EUR,0.92
06/23/2024,GBP,0.79
06/24/2024,USD,1.0
06/24/2024,CAD,1.32
06/24/2024,AUD,1.55
06/24/2024,EUR,0.92
06/24/2024,GBP,0.79
06/25/2024,USD,1.0
06/25/2024,CAD,1.32
06/25/2024,AUD,1.55
06/25/2024,EUR,0.92
06/25/2024,GBP,0.79
06/26/2024,USD,1.0
06/26/2024,CAD,1.32
06/26/2024,AUD,1.55
06/26/2024,EUR,0.92
06/26/2024,GBP,0.79
06/27/2024,USD,1.0
06/27/2024,CAD,1.32
06/27/2024,AUD,1.55
06/27/2024,EUR,0.92
06/27/2024,GBP,0.79
06/28/2024,USD,1.0
06/28/2024,CAD,1.32
06/28/2024,AUD,1.55
06/28/2024,EUR,0.92
06/28/2024,GBP,0.79
06/29/2024,USD,1.0
06/29/2024,CAD,1.32
06/29/2024,AUD,1.55
06/29/2024,EUR,0.92
06/29/2024,GBP,0.79
06/30/2024,USD,1.0
06/30/2024,CAD,1.32
06/30/2024,AUD,1.55
06/30/2024,EUR,0.92
06/30/2024,GBP,0.79
07/01/2024,USD,1.0
07/01/2024,CAD,1.32
07/01/2024,AUD,1.55
07/01/2024,EUR,0.92
07/01/2024,GBP,0.79
07/02/2024,USD,1.0
07/02/2024,CAD,1.32
07/02/2024,AUD,1.55
07/02/2024,EUR,0.92
07/02/2024,GBP,0.79
07/03/2024,USD,1.0
07/03/2024,CAD,1.32
07/03/2024,AUD,1.55
07/03/2024,EUR,0.92
07/03/2024,GBP,0.79
07/04/2024,USD,1.0
07/04/2024,CAD,1.32
07/04/2024,AUD,1.55
07/04/2024,EUR,0.92
07/04/2024,GBP,0.79
07/05/2024,USD,1.0
07/05/2024,CAD,1.32
07/05/2024,AUD,1.55
07/05/2024,EUR,0.92
07/05/2024,GBP,0.79
07/06/2024,USD,1.0
07/06/2024,CAD,1.32
07/06/2024,AUD,1.55
07/06/2024,EUR,0.92
07/06/2024,GBP,0.79
07/07/2024,USD,1.0
07/07/2024,CAD,1.32
07/07/2024,AUD,1.55
07/07/2024,EUR,0.92
