CustomerKey,Total_Orders,Total_Quantity,Total_Spend_USD,First_Order_Date,Last_Order_Date,Avg_Order_Value,Customer_Tenure_Days,Recency_Days,Order_Frequency,Is_Active,Customer_Segment
14988,5,11,6001.97,2024-06-16,2025-11-02,1200.394,577,73,0.2471169686985173,1,Bronze
15391,3,6,497.97,2024-05-12,2025-09-11,165.99,612,125,0.14018691588785048,0,Bronze
15718,6,14,2072.51,2024-09-09,2025-11-10,345.41833333333335,492,65,0.3448275862068966,1,Silver
16716,3,12,1889.08,2025-08-28,2025-10-02,629.6933333333333,139,104,0.5325443786982248,0,Bronze
17412,6,24,2083.31,2024-03-05,2025-09-19,347.2183333333333,680,117,0.2535211267605634,0,Silver
17811,3,14,2727.2,2024-01-04,2025-06-12,909.0666666666666,741,216,0.11673151750972763,0,Bronze
18309,2,4,511.95,2024-07-14,2024-12-22,255.975,549,388,0.10362694300518134,0,Inactive
18470,6,16,1811.69,2024-03-20,2025-02-01,301.9483333333333,665,347,0.2589928057553957,0,At_Risk
18493,1,8,350.48,2025-10-29,2025-10-29,350.48,77,77,0.2803738317757009,1,New
18887,3,10,1328.3600000000001,2025-01-11,2025-03-18,442.7866666666667,368,302,0.22613065326633164,0,Bronze
19082,5,12,4469.97,2024-04-10,2025-12-11,893.994,644,34,0.2225519287833828,1,Bronze
19207,4,11,2282.64,2024-04-28,2025-12-05,570.66,626,40,0.18292682926829268,1,Bronze
19404,2,3,657.0,2024-04-16,2024-11-24,328.5,638,416,0.08982035928143713,0,Inactive
19534,3,10,870.02,2024-02-23,2025-03-16,290.00666666666666,691,304,0.1248266296809986,0,Bronze
19726,2,3,857.0,2024-02-22,2025-01-10,428.5,692,369,0.08310249307479224,0,Inactive
19753,3,11,684.85,2024-08-17,2025-06-22,228.28333333333333,515,206,0.16513761467889906,0,Bronze
20069,8,25,3086.31,2024-09-25,2025-11-08,385.78875,476,67,0.4743083003952569,1,Silver
20092,5,27,4190.91,2024-01-12,2025-04-24,838.182,733,265,0.1965923984272608,0,Bronze
20237,6,23,5071.45,2024-03-15,2025-01-23,845.2416666666667,670,356,0.2571428571428572,0,Silver
20623,5,22,3760.6800000000003,2024-11-15,2025-12-15,752.1360000000001,425,30,0.32967032967032966,1,Bronze
20946,5,15,5816.79,2024-08-13,2025-12-16,1163.358,519,29,0.27322404371584696,1,Bronze
21203,1,2,872.4,2025-01-20,2025-01-20,872.4,359,359,0.07712082262210797,0,New
21424,5,18,6951.889999999999,2024-03-03,2025-09-08,1390.378,682,128,0.21067415730337077,0,Bronze
21460,6,14,3668.88,2024-05-16,2025-12-30,611.48,608,15,0.2821316614420063,1,Silver
21523,4,14,10395.99,2024-02-11,2025-09-25,2598.9975,703,111,0.1637107776261937,0,Bronze
21575,1,1,429.0,2025-03-03,2025-03-03,429.0,317,317,0.08645533141210375,0,New
21819,3,6,1001.96,2024-07-22,2025-02-24,333.9866666666667,541,324,0.15761821366024517,0,Bronze
22540,8,40,22548.08,2024-02-03,2025-12-14,2818.51,711,31,0.32388663967611336,1,Silver
23203,9,16,3243.82,2024-01-16,2025-12-10,360.4244444444445,729,35,0.3557312252964427,1,Silver
23267,2,2,1508.99,2024-01-14,2025-09-06,754.495,731,130,0.07884362680683311,0,Bronze
23320,1,4,639.96,2024-11-01,2024-11-01,639.96,439,439,0.06396588486140725,0,Inactive
23599,4,15,3853.96,2024-05-06,2025-09-06,963.49,618,130,0.18518518518518517,0,Bronze
25771,4,12,2979.9799999999996,2024-06-23,2025-09-17,744.9949999999999,570,119,0.2,0,Bronze
25864,5,17,3206.63,2024-02-01,2025-12-28,641.326,713,17,0.2018842530282638,1,Bronze
26477,6,17,7543.879999999999,2024-02-02,2025-11-13,1257.3133333333333,712,62,0.2425876010781671,1,Silver
26642,2,8,2194.9300000000003,2024-10-17,2025-01-30,1097.4650000000001,454,349,0.12396694214876033,0,Bronze
26728,2,7,13096.96,2024-07-22,2024-08-09,6548.48,541,523,0.10507880910683011,0,Inactive
27356,4,9,1572.33,2025-03-31,2025-12-30,393.0825,289,15,0.3761755485893417,1,Bronze
27492,10,30,7054.15,2024-03-07,2025-09-27,705.415,678,109,0.423728813559322,0,Silver
27616,6,16,2827.51,2024-01-30,2025-10-25,471.2516666666667,715,81,0.24161073825503357,1,Silver
27945,1,2,65.98,2025-11-24,2025-11-24,65.98,51,51,0.37037037037037035,1,New
28690,2,9,905.94,2024-02-27,2025-04-29,452.97,687,260,0.08368200836820085,0,Bronze
29041,2,8,4610.0,2024-04-19,2024-05-05,2305.0,635,619,0.09022556390977443,0,Inactive
29278,1,1,158.0,2024-01-11,2024-01-11,158.0,734,734,0.03926701570680628,0,Inactive
29475,3,8,608.64,2024-03-25,2025-07-27,202.88,660,171,0.13043478260869565,0,Bronze
29555,3,14,4383.4,2024-10-28,2025-07-15,1461.1333333333332,443,183,0.19027484143763213,0,Bronze
29647,3,8,1677.56,2024-07-21,2025-02-22,559.1866666666666,542,326,0.15734265734265734,0,Bronze
29689,6,17,12177.99,2024-06-09,2025-10-19,2029.665,584,87,0.2931596091205212,1,Silver
29812,2,2,327.83,2025-05-21,2025-11-03,163.915,238,72,0.22388059701492538,1,Bronze
29973,6,20,3179.99,2024-07-09,2025-11-28,529.9983333333333,554,47,0.3082191780821918,1,Silver
30090,5,10,1110.96,2024-04-20,2025-07-24,222.192,634,174,0.22590361445783133,0,Bronze
31086,4,8,369.5,2024-06-21,2025-04-24,92.375,572,265,0.19933554817275748,0,Bronze
31164,3,12,8059.92,2024-11-03,2025-05-31,2686.64,437,228,0.19271948608137046,0,Bronze
31236,2,11,5009.0,2024-09-22,2025-03-28,2504.5,479,292,0.11787819253438113,0,Bronze
31784,3,14,1951.93,2024-05-03,2025-07-16,650.6433333333333,621,182,0.1382488479262673,0,Bronze
32037,6,19,3240.13,2024-05-26,2025-10-22,540.0216666666666,598,84,0.28662420382165604,1,Silver
32455,1,3,4425.0,2025-02-13,2025-02-13,4425.0,335,335,0.08219178082191782,0,New
32488,1,1,32.0,2024-03-14,2024-03-14,32.0,671,671,0.042796005706134094,0,Inactive
32511,4,17,16082.82,2024-04-10,2025-08-13,4020.705,644,154,0.17804154302670624,0,Bronze
32538,1,2,592.0,2025-02-21,2025-02-21,592.0,327,327,0.08403361344537814,0,New
33036,3,5,1209.6799999999998,2024-01-24,2025-06-26,403.22666666666663,721,202,0.11984021304926763,0,Bronze
33205,10,32,3871.54,2024-04-30,2025-10-14,387.154,624,92,0.4587155963302752,0,Silver
33444,8,24,10384.91,2024-02-01,2025-08-29,1298.11375,713,138,0.3230148048452221,0,Silver
34081,8,30,9588.53,2024-03-16,2025-10-27,1198.56625,669,79,0.34334763948497854,1,Silver
34143,3,7,4726.0,2024-05-10,2025-03-27,1575.3333333333333,614,293,0.13975155279503107,0,Bronze
34431,1,1,28.0,2024-02-05,2024-02-05,28.0,709,709,0.04059539918809202,0,Inactive
34850,2,6,2477.96,2024-01-26,2025-11-11,1238.98,719,64,0.0801068090787717,1,Bronze
34915,1,2,56.0,2025-06-29,2025-06-29,56.0,199,199,0.13100436681222707,0,New
35257,3,7,120.78999999999999,2025-01-06,2025-08-10,40.26333333333333,373,157,0.22332506203473945,0,Bronze
35703,3,5,715.98,2025-03-01,2025-08-16,238.66,319,151,0.25787965616045844,0,Bronze
35733,9,29,8441.27,2024-03-25,2025-10-03,937.9188888888889,660,103,0.391304347826087,0,Silver
35795,5,13,8790.72,2024-03-31,2025-09-27,1758.1439999999998,654,109,0.21929824561403508,0,Bronze
36112,7,22,2939.55,2024-01-22,2025-11-15,419.9357142857143,723,60,0.2788844621513944,1,Silver
36336,1,1,1592.2,2025-05-16,2025-05-16,1592.2,243,243,0.10989010989010989,0,New
36418,2,2,1026.88,2024-07-25,2025-09-04,513.44,538,132,0.1056338028169014,0,Bronze
36507,6,28,5605.5,2024-03-15,2025-12-08,934.25,670,37,0.2571428571428572,1,Silver
37070,4,19,8240.35,2024-02-03,2025-11-06,2060.0875,711,69,0.16194331983805668,1,Bronze
37251,3,13,3779.49,2024-12-23,2025-08-15,1259.83,387,152,0.2158273381294964,0,Bronze
37408,4,12,4562.95,2024-09-25,2025-09-25,1140.7375,476,111,0.23715415019762845,0,Bronze
37580,2,2,599.55,2024-05-25,2024-12-30,299.775,599,380,0.09538950715421304,0,Inactive
37585,3,11,4032.98,2024-04-24,2025-03-12,1344.3266666666666,630,308,0.13636363636363635,0,Bronze
37802,10,40,8883.960000000001,2024-08-24,2025-11-14,888.3960000000001,508,61,0.5576208178438662,1,Silver
37991,4,15,6893.0,2024-08-05,2025-12-03,1723.25,527,42,0.21543985637342908,1,Bronze
38006,1,1,6.99,2025-03-08,2025-03-08,6.99,312,312,0.08771929824561403,0,New
38036,2,4,1049.8,2024-06-16,2025-01-17,524.9,577,362,0.09884678747940691,0,Bronze
38195,10,31,6548.02,2024-05-07,2025-08-27,654.802,617,140,0.46367851622874806,0,Silver
38212,3,4,400.99,2024-12-10,2025-03-11,133.66333333333333,400,309,0.20930232558139533,0,Bronze
38613,9,33,6230.1,2024-07-23,2025-04-29,692.2333333333333,540,260,0.47368421052631576,0,Silver
39246,2,4,2154.0,2024-04-25,2024-07-16,1077.0,629,547,0.09104704097116845,0,Inactive
39268,1,5,389.95,2024-01-23,2024-01-23,389.95,722,722,0.0398936170212766,0,Inactive
39314,2,6,453.56,2024-04-17,2024-10-09,226.78,637,462,0.08995502248875561,0,Inactive
39582,3,18,5555.0,2024-05-24,2025-09-26,1851.6666666666667,600,110,0.14285714285714285,0,Bronze
39592,2,10,2016.93,2024-10-10,2024-10-18,1008.465,461,453,0.12219959266802444,0,Inactive
39894,1,8,879.92,2024-12-10,2024-12-10,879.92,400,400,0.06976744186046512,0,Inactive
39927,3,6,2080.9700000000003,2024-05-15,2025-11-08,693.6566666666668,609,67,0.14084507042253522,1,Bronze
40363,4,14,5489.15,2024-02-23,2025-03-25,1372.2875,691,295,0.16643550624133147,0,Bronze
40443,1,4,624.0,2024-10-24,2024-10-24,624.0,447,447,0.06289308176100629,0,Inactive
40649,3,8,11007.0,2024-06-05,2025-09-10,3669.0,588,126,0.14563106796116504,0,Bronze
40669,2,9,4359.0,2024-01-30,2024-06-04,2179.5,715,589,0.08053691275167786,0,Inactive
41281,5,10,630.6800000000001,2024-01-16,2025-07-15,126.13600000000001,729,183,0.1976284584980237,0,Bronze
41570,4,12,8377.97,2024-08-21,2025-08-15,2094.4925,511,152,0.22181146025878,0,Bronze
42177,4,6,2557.87,2024-12-01,2025-11-07,639.4675,409,68,0.2733485193621868,1,Bronze
42364,10,26,8609.39,2024-04-04,2025-11-20,860.939,650,55,0.4411764705882353,1,Silver
42408,2,7,1667.35,2024-07-30,2025-04-06,833.675,533,283,0.10657193605683837,0,Bronze
42840,2,5,1496.98,2025-11-14,2025-11-23,748.49,61,52,0.6593406593406593,1,Bronze
42956,2,2,172.99,2024-11-15,2025-03-16,86.495,425,304,0.13186813186813187,0,Bronze
43784,3,9,2915.94,2024-01-12,2024-12-09,971.98,733,401,0.11795543905635648,0,Inactive
43840,5,14,3593.79,2024-10-02,2025-06-30,718.758,469,198,0.30060120240480964,0,Bronze
44493,5,7,1043.45,2024-05-03,2025-12-04,208.69,621,41,0.2304147465437788,1,Bronze
44728,8,27,12658.83,2024-01-28,2025-01-21,1582.35375,717,358,0.321285140562249,0,Silver
45172,2,2,654.9,2025-01-02,2025-03-04,327.45,377,316,0.14742014742014742,0,Bronze
45250,1,5,4495.0,2025-12-11,2025-12-11,4495.0,34,34,0.46875,1,New
45436,4,6,1026.46,2024-01-02,2025-11-20,256.615,743,55,0.1552393272962484,1,Bronze
45781,1,1,6.89,2025-12-30,2025-12-30,6.89,15,15,0.6666666666666666,1,New
45814,3,8,2687.9700000000003,2024-04-09,2025-02-18,895.9900000000001,645,330,0.13333333333333333,0,Bronze
46155,1,2,62.0,2025-12-08,2025-12-08,62.0,37,37,0.44776119402985076,1,New
46917,2,8,313.99,2024-11-08,2025-01-02,156.995,432,377,0.12987012987012986,0,Inactive
46996,1,3,29.97,2024-02-13,2024-02-13,29.97,701,701,0.04103967168262654,0,Inactive
47518,3,10,2745.64,2024-03-31,2025-09-04,915.2133333333333,654,132,0.13157894736842105,0,Bronze
48383,2,6,611.52,2024-10-23,2025-02-28,305.76,448,320,0.12552301255230125,0,Bronze
48466,14,49,6746.09,2024-01-19,2025-09-25,481.86357142857145,726,111,0.5555555555555556,0,Gold
48733,5,23,3753.76,2024-03-12,2025-12-25,750.7520000000001,673,20,0.21337126600284495,1,Bronze
49400,5,20,2062.38,2024-08-01,2025-12-21,412.476,531,24,0.26737967914438504,1,Bronze
49606,1,2,1198.0,2024-06-03,2024-06-03,1198.0,590,590,0.04838709677419355,0,Inactive
49776,6,13,5856.0,2024-04-02,2025-03-05,976.0,652,315,0.26392961876832843,0,Silver
49950,3,10,7963.99,2025-06-26,2025-11-15,2654.6633333333334,202,60,0.3879310344827586,1,Bronze
50075,4,5,2272.8500000000004,2024-02-16,2025-12-18,568.2125000000001,698,27,0.16483516483516483,1,Bronze
50681,1,2,624.0,2025-11-19,2025-11-19,624.0,56,56,0.3488372093023256,1,New
50741,1,2,25.32,2024-02-09,2024-02-09,25.32,705,705,0.04081632653061224,0,Inactive
51172,3,4,1253.0,2025-04-19,2025-10-22,417.6666666666667,270,84,0.3,1,Bronze
51314,10,48,9649.83,2024-02-07,2025-11-10,964.983,707,65,0.40705563093622793,1,Silver
51718,2,11,3299.99,2024-06-02,2025-06-29,1649.995,591,199,0.0966183574879227,0,Bronze
52536,2,5,768.96,2024-11-12,2025-04-05,384.48,428,284,0.13100436681222707,0,Bronze
52694,2,8,4761.57,2025-09-08,2025-09-13,2380.785,128,123,0.379746835443038,0,Bronze
53318,2,6,2149.98,2025-02-20,2025-12-10,1074.99,328,35,0.16759776536312848,1,Bronze
53920,5,19,757.54,2024-03-21,2025-11-02,151.50799999999998,664,73,0.21613832853025938,1,Bronze
54089,5,16,15182.99,2024-01-20,2025-06-13,3036.598,725,215,0.1986754966887417,0,Bronze
54161,2,2,462.0,2024-03-23,2024-09-23,231.0,662,478,0.08670520231213873,0,Inactive
54752,1,2,320.0,2025-11-30,2025-11-30,320.0,45,45,0.4,1,New
54987,2,11,2440.98,2024-05-09,2025-11-20,1220.49,615,55,0.09302325581395349,1,Bronze
55039,4,12,4662.75,2024-10-15,2025-09-05,1165.6875,456,131,0.2469135802469136,0,Bronze
55066,4,11,4413.79,2024-02-03,2025-12-26,1103.4475,711,19,0.16194331983805668,1,Bronze
55084,2,3,3498.8,2024-03-04,2025-10-23,1749.4,681,83,0.08438818565400844,1,Bronze
55411,5,18,1790.48,2025-02-01,2025-10-17,358.096,347,89,0.3978779840848806,1,Bronze
55914,3,10,791.57,2024-02-10,2025-11-14,263.8566666666667,704,61,0.1226158038147139,1,Bronze
56791,2,5,841.97,2025-07-27,2025-10-09,420.985,171,97,0.29850746268656714,0,Bronze
56834,1,1,25.69,2024-04-24,2024-04-24,25.69,630,630,0.045454545454545456,0,Inactive
56999,4,14,854.79,2024-08-06,2025-11-03,213.6975,526,72,0.2158273381294964,1,Bronze
57307,3,7,966.6999999999999,2024-10-04,2025-12-06,322.2333333333333,467,39,0.18108651911468812,1,Bronze
57374,1,6,1800.0,2024-10-24,2024-10-24,1800.0,447,447,0.06289308176100629,0,Inactive
58066,4,10,477.78000000000003,2024-01-26,2025-06-05,119.44500000000001,719,223,0.1602136181575434,0,Bronze
58710,3,4,309.28,2024-04-25,2025-08-14,103.09333333333332,629,153,0.13657056145675267,0,Bronze
58919,2,4,2889.99,2024-10-20,2024-12-18,1444.995,451,392,0.12474012474012476,0,Inactive
59159,11,31,7852.53,2024-01-27,2025-11-08,713.8663636363636,718,67,0.4411764705882353,1,Gold
59304,3,14,5851.47,2024-09-30,2025-09-23,1950.49,471,113,0.17964071856287425,0,Bronze
59422,5,9,1447.76,2024-06-12,2025-04-30,289.552,581,259,0.24549918166939444,0,Bronze
59529,3,8,2838.96,2024-11-09,2025-09-16,946.32,431,120,0.19522776572668113,0,Bronze
59842,2,13,2497.85,2024-09-15,2025-03-28,1248.925,486,292,0.11627906976744186,0,Bronze
59961,2,8,437.94,2024-12-14,2025-02-08,218.97,396,340,0.14084507042253522,0,Bronze
60150,4,17,959.1999999999999,2024-05-28,2025-04-30,239.79999999999998,596,259,0.19169329073482427,0,Bronze
60407,3,7,1405.78,2024-07-30,2025-08-04,468.5933333333333,533,163,0.15985790408525755,0,Bronze
60411,5,19,2309.67,2024-07-29,2025-06-21,461.934,534,207,0.26595744680851063,0,Bronze
60454,2,4,1989.0,2024-07-29,2025-01-24,994.5,534,355,0.10638297872340426,0,Bronze
60722,3,13,3313.85,2024-07-16,2025-11-04,1104.6166666666666,547,71,0.1559792027729636,1,Bronze
60892,2,13,1729.87,2024-10-06,2025-01-22,864.935,465,357,0.12121212121212122,0,Bronze
61718,9,22,4645.14,2024-06-26,2025-12-21,516.1266666666667,567,24,0.45226130653266333,1,Silver
61773,5,13,1805.91,2024-05-18,2025-08-17,361.182,606,150,0.2358490566037736,0,Bronze
61881,6,15,2887.16,2024-02-17,2025-12-17,481.1933333333333,697,28,0.24759284731774414,1,Silver
61947,3,8,2507.71,2024-07-07,2025-08-13,835.9033333333333,556,154,0.15358361774744025,0,Bronze
62017,1,3,479.97,2024-03-13,2024-03-13,479.97,672,672,0.042735042735042736,0,Inactive
62076,1,4,1199.96,2024-12-03,2024-12-03,1199.96,407,407,0.06864988558352403,0,Inactive
62125,1,5,899.95,2024-03-26,2024-03-26,899.95,659,659,0.043541364296081284,0,Inactive
62163,5,16,5496.9400000000005,2024-01-10,2025-03-28,1099.3880000000001,735,292,0.19607843137254902,0,Bronze
62416,2,8,1997.94,2024-01-18,2024-04-04,998.97,727,650,0.07926023778071334,0,Inactive
62590,1,4,556.0,2024-06-26,2024-06-26,556.0,567,567,0.05025125628140704,0,Inactive
63342,4,17,9301.25,2024-03-27,2025-04-29,2325.3125,658,260,0.1744186046511628,0,Bronze
63681,4,15,2916.98,2024-05-13,2025-08-24,729.245,611,143,0.187207488299532,0,Bronze
64037,1,1,13.89,2024-04-09,2024-04-09,13.89,645,645,0.044444444444444446,0,Inactive
64511,3,15,11205.0,2024-01-02,2025-05-15,3735.0,743,244,0.1164294954721863,0,Bronze
64764,4,15,7258.99,2024-02-02,2024-10-09,1814.7475,712,462,0.16172506738544473,0,Inactive
64842,3,11,6934.98,2024-02-01,2025-11-12,2311.66,713,63,0.12113055181695828,1,Bronze
65163,2,5,229.64000000000001,2024-03-28,2025-10-10,114.82000000000001,657,96,0.08733624454148473,0,Bronze
65180,3,16,11362.4,2024-01-23,2025-06-16,3787.4666666666667,722,212,0.1196808510638298,0,Bronze
65269,16,46,7731.15,2024-03-14,2025-12-07,483.196875,671,38,0.6847360912981455,1,Gold
65283,9,19,4496.4,2024-01-22,2025-08-25,499.59999999999997,723,142,0.3585657370517928,0,Silver
65372,8,24,5865.28,2024-01-27,2025-11-19,733.16,718,56,0.32085561497326204,1,Silver
65507,2,2,379.94,2024-02-09,2025-12-17,189.97,705,28,0.08163265306122448,1,Bronze
66352,1,1,899.0,2025-06-04,2025-06-04,899.0,224,224,0.11811023622047244,0,New
67066,6,29,8724.84,2024-03-07,2025-07-01,1454.14,678,197,0.2542372881355932,0,Silver
67157,10,24,10420.96,2024-01-04,2025-10-09,1042.096,741,97,0.38910505836575876,0,Silver
67217,6,22,4502.91,2024-01-15,2025-11-27,750.485,730,48,0.2368421052631579,1,Silver
67369,4,13,2765.4,2024-12-18,2025-12-21,691.35,392,24,0.2843601895734597,1,Bronze
67455,3,13,5073.0,2024-07-28,2024-12-14,1691.0,535,396,0.1592920353982301,0,Inactive
67744,1,1,118.0,2024-10-28,2024-10-28,118.0,443,443,0.06342494714587738,0,Inactive
68082,4,6,1182.99,2024-02-09,2025-09-02,295.7475,705,134,0.16326530612244897,0,Bronze
68537,3,12,1183.68,2024-08-15,2025-12-13,394.56,517,32,0.16453382084095064,1,Bronze
68882,1,3,74.97,2025-05-26,2025-05-26,74.97,233,233,0.1140684410646388,0,New
69066,2,3,210.68,2024-12-13,2025-04-23,105.34,397,266,0.14051522248243561,0,Bronze
69557,5,7,3359.49,2024-03-12,2025-12-28,671.8979999999999,673,17,0.21337126600284495,1,Bronze
69645,1,1,199.95,2024-07-26,2024-07-26,199.95,537,537,0.052910052910052914,0,Inactive
69707,7,10,1543.23,2024-01-28,2025-12-12,220.46142857142857,717,33,0.28112449799196787,1,Bronze
69754,1,1,139.0,2024-01-21,2024-01-21,139.0,724,724,0.03978779840848806,0,Inactive
69812,3,12,1606.96,2024-04-18,2025-02-03,535.6533333333333,636,345,0.13513513513513514,0,Bronze
69959,6,12,5509.88,2024-07-08,2025-10-20,918.3133333333334,555,86,0.3076923076923077,1,Silver
70453,9,16,2981.7200000000003,2024-05-27,2025-11-27,331.30222222222227,597,48,0.430622009569378,1,Silver
70544,1,3,84.0,2025-06-26,2025-06-26,84.0,202,202,0.12931034482758622,0,New
70584,2,15,7569.65,2024-04-09,2025-04-24,3784.825,645,265,0.08888888888888889,0,Bronze
70598,2,5,1360.0,2024-01-18,2025-09-21,680.0,727,115,0.07926023778071334,0,Bronze
70912,15,51,27219.2,2024-05-11,2025-12-15,1814.6133333333335,613,30,0.6998444790046656,1,Gold
71218,6,28,14296.89,2024-03-27,2025-06-25,2382.815,658,203,0.2616279069767442,0,Silver
71220,2,3,249.98,2024-08-26,2025-12-01,124.99,506,44,0.11194029850746269,1,Bronze
71282,4,11,444.01,2024-06-21,2025-06-23,111.0025,572,205,0.19933554817275748,0,Bronze
71333,7,38,14154.279999999999,2024-04-12,2025-11-10,2022.0399999999997,642,65,0.3125,1,Silver
