ProductKey,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Total_Units_Sold,Total_Orders,Total_Revenue_USD,Last_Sold_Date,Avg_Order_Quantity,Sales_Rank,Is_Top_Seller
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,$35.72 ,$77.68 ,101,MP4&MP3,1,Audio,60.0,24.0,4660.8,2025-12-16,2.5,1592,0
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,$35.72 ,$77.68 ,101,MP4&MP3,1,Audio,101.0,26.0,7845.68,2025-12-29,3.8846153846153846,1258,0
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,$50.56 ,$109.95 ,101,MP4&MP3,1,Audio,43.0,21.0,4727.85,2025-12-08,2.0476190476190474,1582,0
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,$50.56 ,$109.95 ,101,MP4&MP3,1,Audio,68.0,19.0,7476.6,2025-12-21,3.5789473684210527,1296,0
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,$50.56 ,$109.95 ,101,MP4&MP3,1,Audio,108.0,33.0,11874.6,2025-12-08,3.272727272727273,1026,0
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,$50.56 ,$109.95 ,101,MP4&MP3,1,Audio,52.0,19.0,5717.400000000001,2025-11-21,2.736842105263158,1476,0
20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,$61.62 ,$134.00 ,101,MP4&MP3,1,Audio,59.0,18.0,7906.0,2025-12-08,3.2777777777777777,1254,0
21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,$61.62 ,$134.00 ,101,MP4&MP3,1,Audio,62.0,22.0,8308.0,2025-12-27,2.8181818181818183,1221,0
22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,$61.62 ,$134.00 ,101,MP4&MP3,1,Audio,56.0,19.0,7504.0,2025-12-23,2.9473684210526314,1292,0
23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,$61.62 ,$134.00 ,101,MP4&MP3,1,Audio,73.0,29.0,9782.0,2025-12-13,2.5172413793103448,1127,0
24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,$91.93 ,$199.90 ,101,MP4&MP3,1,Audio,92.0,27.0,18390.8,2025-12-02,3.4074074074074074,788,0
25,Contoso 16GB Mp5 Player M1600 Black,Contoso,Black,$91.93 ,$199.90 ,101,MP4&MP3,1,Audio,102.0,32.0,20389.8,2025-12-21,3.1875,731,0
26,Contoso 16GB Mp5 Player M1600 Green,Contoso,Green,$91.93 ,$199.90 ,101,MP4&MP3,1,Audio,60.0,22.0,11994.0,2025-10-24,2.727272727272727,1018,0
27,Contoso 16GB Mp5 Player M1600 White,Contoso,White,$91.93 ,$199.90 ,101,MP4&MP3,1,Audio,66.0,20.0,13193.400000000001,2025-12-25,3.3,964,0
28,Contoso 16GB Mp5 Player M1600 Red,Contoso,Red,$91.93 ,$199.90 ,101,MP4&MP3,1,Audio,86.0,23.0,17191.4,2025-10-19,3.739130434782609,822,0
29,Contoso 32GB Video MP3 Player M3200 White,Contoso,White,$84.49 ,$255.00 ,101,MP4&MP3,1,Audio,90.0,30.0,22950.0,2025-11-21,3.0,662,0
30,Contoso 32GB Video MP3 Player M3200 Red,Contoso,Red,$84.49 ,$255.00 ,101,MP4&MP3,1,Audio,69.0,24.0,17595.0,2025-12-29,2.875,815,0
31,Contoso 32GB Video MP3 Player M3200 Orange,Contoso,Orange,$84.49 ,$255.00 ,101,MP4&MP3,1,Audio,41.0,20.0,10455.0,2025-11-12,2.05,1094,0
32,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,$84.49 ,$255.00 ,101,MP4&MP3,1,Audio,94.0,28.0,23970.0,2025-12-27,3.357142857142857,637,0
33,Contoso 32GB Video MP3 Player M3200 Black,Contoso,Black,$84.49 ,$255.00 ,101,MP4&MP3,1,Audio,87.0,23.0,22185.0,2025-12-21,3.782608695652174,687,0
34,Contoso 4GB Portable MP3 Player M450 Black,Contoso,Black,$48.92 ,$95.95 ,101,MP4&MP3,1,Audio,100.0,25.0,9595.0,2025-12-29,4.0,1131,0
35,Contoso 4GB Portable MP3 Player M450 White,Contoso,White,$48.92 ,$95.95 ,101,MP4&MP3,1,Audio,63.0,24.0,6044.85,2025-12-30,2.625,1429,0
36,Contoso 4GB Portable MP3 Player M450 Yellow,Contoso,Yellow,$48.92 ,$95.95 ,101,MP4&MP3,1,Audio,22.0,9.0,2110.9,2025-10-10,2.4444444444444446,1974,0
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Contoso,Silver,$99.14 ,$299.23 ,101,MP4&MP3,1,Audio,55.0,19.0,16457.65,2025-11-07,2.8947368421052633,844,0
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,Contoso,Black,$99.14 ,$299.23 ,101,MP4&MP3,1,Audio,50.0,15.0,14961.5,2025-12-02,3.3333333333333335,899,0
39,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Green,$99.14 ,$299.23 ,101,MP4&MP3,1,Audio,107.0,33.0,32017.61,2025-11-13,3.242424242424242,480,0
40,Contoso 8GB Clock & Radio MP3 Player X850 Blue,Contoso,Blue,$99.14 ,$299.23 ,101,MP4&MP3,1,Audio,74.0,20.0,22143.02,2025-11-16,3.7,690,0
41,Contoso 16GB New Generation MP5 Player M1650 Silver,Contoso,Silver,$106.69 ,$232.00 ,101,MP4&MP3,1,Audio,74.0,28.0,17168.0,2025-11-20,2.642857142857143,825,0
42,Contoso 16GB New Generation MP5 Player M1650 White,Contoso,White,$106.69 ,$232.00 ,101,MP4&MP3,1,Audio,71.0,20.0,16472.0,2025-12-06,3.55,842,0
43,Contoso 16GB New Generation MP5 Player M1650 Black,Contoso,Black,$106.69 ,$232.00 ,101,MP4&MP3,1,Audio,89.0,21.0,20648.0,2025-12-30,4.238095238095238,727,0
44,Contoso 16GB New Generation MP5 Player M1650 blue,Contoso,Blue,$106.69 ,$232.00 ,101,MP4&MP3,1,Audio,68.0,27.0,15776.0,2025-10-29,2.5185185185185186,866,0
45,Contoso 16GB New Generation MP5 Player M1650 Pink,Contoso,Pink,$106.69 ,$232.00 ,101,MP4&MP3,1,Audio,68.0,23.0,15776.0,2025-12-20,2.9565217391304346,866,0
46,WWI 1GB Pulse Smart pen E50 White,Wide World Importers,White,$76.45 ,$149.95 ,104,Recording Pen,1,Audio,317.0,103.0,47534.149999999994,2025-12-27,3.0776699029126213,283,0
47,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,Black,$76.45 ,$149.95 ,104,Recording Pen,1,Audio,309.0,101.0,46334.549999999996,2025-12-22,3.0594059405940595,291,0
48,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Silver,$76.45 ,$149.95 ,104,Recording Pen,1,Audio,355.0,111.0,53232.24999999999,2025-12-25,3.1981981981981984,248,1
49,WWI 2GB Pulse Smart pen M100 White,Wide World Importers,White,$91.95 ,$199.95 ,104,Recording Pen,1,Audio,318.0,100.0,63584.09999999999,2025-12-31,3.18,189,1
50,WWI 2GB Pulse Smart pen M100 Black,Wide World Importers,Black,$91.95 ,$199.95 ,104,Recording Pen,1,Audio,308.0,98.0,61584.6,2025-12-17,3.142857142857143,200,1
51,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Blue,$91.95 ,$199.95 ,104,Recording Pen,1,Audio,345.0,105.0,68982.75,2025-12-19,3.2857142857142856,162,1
52,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Silver,$91.95 ,$199.95 ,104,Recording Pen,1,Audio,217.0,79.0,43389.149999999994,2025-12-30,2.7468354430379747,323,0
53,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Black,$98.07 ,$296.00 ,104,Recording Pen,1,Audio,366.0,115.0,108336.0,2025-12-22,3.1826086956521737,93,1
54,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,$98.07 ,$296.00 ,104,Recording Pen,1,Audio,328.0,110.0,97088.0,2025-12-29,2.981818181818182,110,1
55,WWI 4GB Video Recording Pen X200 Pink,Wide World Importers,Pink,$98.07 ,$296.00 ,104,Recording Pen,1,Audio,304.0,102.0,89984.0,2025-12-21,2.980392156862745,121,1
56,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Yellow,$98.07 ,$296.00 ,104,Recording Pen,1,Audio,370.0,117.0,109520.0,2025-12-26,3.1623931623931623,90,1
57,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Black,$79.53 ,$156.00 ,104,Recording Pen,1,Audio,431.0,139.0,67236.0,2025-12-30,3.1007194244604315,169,1
58,WWI 1GB Digital Voice Recorder Pen E100 Red,Wide World Importers,Red,$79.53 ,$156.00 ,104,Recording Pen,1,Audio,388.0,115.0,60528.0,2025-12-17,3.373913043478261,202,1
59,WWI 1GB Digital Voice Recorder Pen E100 Pink,Wide World Importers,Pink,$79.53 ,$156.00 ,104,Recording Pen,1,Audio,289.0,92.0,45084.0,2025-12-31,3.141304347826087,300,0
60,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,White,$79.53 ,$156.00 ,104,Recording Pen,1,Audio,357.0,111.0,55692.0,2025-12-29,3.2162162162162162,227,1
61,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,Black,$83.24 ,$181.00 ,104,Recording Pen,1,Audio,340.0,110.0,61540.0,2025-12-31,3.090909090909091,201,1
62,WWI 2GB Spy Video Recorder Pen M300 White,Wide World Importers,White,$83.24 ,$181.00 ,104,Recording Pen,1,Audio,284.0,96.0,51404.0,2025-12-23,2.9583333333333335,256,0
63,WWI 2GB Spy Video Recorder Pen M300 Blue,Wide World Importers,Blue,$83.24 ,$181.00 ,104,Recording Pen,1,Audio,314.0,90.0,56834.0,2025-12-17,3.488888888888889,219,1
64,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Silver,$83.24 ,$181.00 ,104,Recording Pen,1,Audio,324.0,95.0,58644.0,2025-12-20,3.4105263157894736,212,1
65,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Purple,$83.24 ,$181.00 ,104,Recording Pen,1,Audio,353.0,121.0,63893.0,2025-12-25,2.9173553719008263,187,1
66,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Blue,$13.10 ,$25.69 ,106,Bluetooth Headphones,1,Audio,307.0,82.0,7886.830000000001,2025-12-19,3.7439024390243905,1255,0
67,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Black,$13.10 ,$25.69 ,106,Bluetooth Headphones,1,Audio,254.0,87.0,6525.26,2025-12-25,2.9195402298850577,1377,0
68,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Yellow,$13.10 ,$25.69 ,106,Bluetooth Headphones,1,Audio,204.0,70.0,5240.76,2025-12-26,2.914285714285714,1529,0
69,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Pink,$13.10 ,$25.69 ,106,Bluetooth Headphones,1,Audio,314.0,100.0,8066.660000000001,2025-12-13,3.14,1238,0
70,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Silver,$22.05 ,$47.95 ,106,Bluetooth Headphones,1,Audio,280.0,93.0,13426.000000000002,2025-12-19,3.010752688172043,958,0
71,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Black,$22.05 ,$47.95 ,106,Bluetooth Headphones,1,Audio,281.0,91.0,13473.95,2025-12-12,3.087912087912088,953,0
72,NT Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,Blue,$22.05 ,$47.95 ,106,Bluetooth Headphones,1,Audio,268.0,85.0,12850.600000000002,2025-12-21,3.152941176470588,981,0
73,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,White,$22.05 ,$47.95 ,106,Bluetooth Headphones,1,Audio,319.0,99.0,15296.050000000001,2025-12-31,3.2222222222222223,884,0
74,NT Bluetooth Active Headphones E202 Black,Northwind Traders,Black,$17.45 ,$37.95 ,106,Bluetooth Headphones,1,Audio,203.0,66.0,7703.85,2025-12-16,3.0757575757575757,1276,0
75,NT Bluetooth Active Headphones E202 White,Northwind Traders,White,$17.45 ,$37.95 ,106,Bluetooth Headphones,1,Audio,300.0,98.0,11385.0,2025-12-22,3.061224489795918,1051,0
76,NT Bluetooth Active Headphones E202 Red,Northwind Traders,Red,$17.45 ,$37.95 ,106,Bluetooth Headphones,1,Audio,266.0,89.0,10094.7,2025-12-18,2.9887640449438204,1110,0
77,NT Bluetooth Active Headphones E202 Silver,Northwind Traders,Silver,$17.45 ,$37.95 ,106,Bluetooth Headphones,1,Audio,258.0,77.0,9791.1,2025-12-28,3.3506493506493507,1124,0
78,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Silver,$18.65 ,$40.55 ,106,Bluetooth Headphones,1,Audio,260.0,87.0,10543.0,2025-12-05,2.9885057471264367,1091,0
79,NT Wireless Bluetooth Stereo Headphones E302 White,Northwind Traders,White,$18.65 ,$40.55 ,106,Bluetooth Headphones,1,Audio,253.0,87.0,10259.15,2025-12-27,2.9080459770114944,1104,0
80,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,Yellow,$18.65 ,$40.55 ,106,Bluetooth Headphones,1,Audio,273.0,85.0,11070.15,2025-12-29,3.211764705882353,1065,0
81,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Black,$18.65 ,$40.55 ,106,Bluetooth Headphones,1,Audio,289.0,81.0,11718.949999999999,2025-12-11,3.567901234567901,1033,0
82,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,Pink,$18.65 ,$40.55 ,106,Bluetooth Headphones,1,Audio,283.0,94.0,11475.65,2025-12-29,3.0106382978723403,1046,0
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,Northwind Traders,Silver,$45.98 ,$99.99 ,106,Bluetooth Headphones,1,Audio,223.0,72.0,22297.769999999997,2025-12-27,3.0972222222222223,682,0
84,NT Wireless Bluetooth Stereo Headphones M402 Red,Northwind Traders,Red,$45.98 ,$99.99 ,106,Bluetooth Headphones,1,Audio,311.0,94.0,31096.89,2025-12-18,3.3085106382978724,498,0
85,NT Wireless Bluetooth Stereo Headphones M402 Green,Northwind Traders,Green,$45.98 ,$99.99 ,106,Bluetooth Headphones,1,Audio,278.0,86.0,27797.219999999998,2025-12-31,3.2325581395348837,559,0
86,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Black,$45.98 ,$99.99 ,106,Bluetooth Headphones,1,Audio,287.0,81.0,28697.129999999997,2025-12-29,3.54320987654321,549,0
87,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Purple,$45.98 ,$99.99 ,106,Bluetooth Headphones,1,Audio,301.0,99.0,30096.989999999998,2025-12-23,3.04040404040404,518,0
88,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Black,$49.69 ,$149.99 ,106,Bluetooth Headphones,1,Audio,251.0,91.0,37647.490000000005,2025-12-28,2.758241758241758,398,0
89,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Northwind Traders,Blue,$49.69 ,$149.99 ,106,Bluetooth Headphones,1,Audio,267.0,82.0,40047.33,2025-12-25,3.2560975609756095,367,0
90,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Silver,$49.69 ,$149.99 ,106,Bluetooth Headphones,1,Audio,294.0,94.0,44097.060000000005,2025-12-31,3.127659574468085,310,0
91,NT Wireless Transmitter and Bluetooth Headphones M150 Green,Northwind Traders,Green,$49.69 ,$149.99 ,106,Bluetooth Headphones,1,Audio,220.0,71.0,32997.8,2025-12-27,3.0985915492957745,463,0
92,NT Wireless Transmitter and Bluetooth Headphones M150 Red,Northwind Traders,Red,$49.69 ,$149.99 ,106,Bluetooth Headphones,1,Audio,220.0,74.0,32997.8,2025-12-27,2.972972972972973,463,0
93,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,Blue,$34.36 ,$67.40 ,106,Bluetooth Headphones,1,Audio,321.0,93.0,21635.4,2025-12-21,3.4516129032258065,700,0
94,WWI Stereo Bluetooth Headphones E1000 Black,Wide World Importers,Black,$34.36 ,$67.40 ,106,Bluetooth Headphones,1,Audio,303.0,85.0,20422.2,2025-12-30,3.5647058823529414,730,0
95,WWI Stereo Bluetooth Headphones E1000 Silver,Wide World Importers,Silver,$34.36 ,$67.40 ,106,Bluetooth Headphones,1,Audio,274.0,83.0,18467.600000000002,2025-12-30,3.3012048192771086,786,0
96,WWI Stereo Bluetooth Headphones E1000 White,Wide World Importers,White,$34.36 ,$67.40 ,106,Bluetooth Headphones,1,Audio,262.0,82.0,17658.800000000003,2025-12-24,3.1951219512195124,811,0
97,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Green,$34.36 ,$67.40 ,106,Bluetooth Headphones,1,Audio,300.0,106.0,20220.0,2025-12-30,2.830188679245283,734,0
98,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,Silver,$55.18 ,$120.00 ,106,Bluetooth Headphones,1,Audio,280.0,83.0,33600.0,2025-12-28,3.3734939759036147,448,0
99,WWI Wireless Bluetooth Stereo Headphones M170 Black,Wide World Importers,Black,$55.18 ,$120.00 ,106,Bluetooth Headphones,1,Audio,209.0,66.0,25080.0,2025-12-24,3.1666666666666665,615,0
100,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,$55.18 ,$120.00 ,106,Bluetooth Headphones,1,Audio,264.0,100.0,31680.0,2025-12-17,2.64,489,0
101,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Pink,$55.18 ,$120.00 ,106,Bluetooth Headphones,1,Audio,251.0,82.0,30120.0,2025-12-28,3.0609756097560976,517,0
102,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Silver,$52.88 ,$115.00 ,106,Bluetooth Headphones,1,Audio,299.0,89.0,34385.0,2025-12-18,3.359550561797753,438,0
103,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Black,$52.88 ,$115.00 ,106,Bluetooth Headphones,1,Audio,359.0,94.0,41285.0,2025-12-18,3.8191489361702127,348,0
104,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,White,$52.88 ,$115.00 ,106,Bluetooth Headphones,1,Audio,308.0,92.0,35420.0,2025-12-21,3.347826086956522,421,0
105,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Pink,$52.88 ,$115.00 ,106,Bluetooth Headphones,1,Audio,319.0,106.0,36685.0,2025-12-28,3.009433962264151,410,0
106,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,Black,$61.16 ,$132.99 ,106,Bluetooth Headphones,1,Audio,271.0,94.0,36040.29,2025-12-10,2.882978723404255,418,0
107,WWI Stereo Bluetooth Headphones New Generation M370 White,Wide World Importers,White,$61.16 ,$132.99 ,106,Bluetooth Headphones,1,Audio,258.0,87.0,34311.420000000006,2025-12-18,2.9655172413793105,439,0
108,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Wide World Importers,Yellow,$61.16 ,$132.99 ,106,Bluetooth Headphones,1,Audio,251.0,78.0,33380.490000000005,2025-12-12,3.217948717948718,456,0
109,WWI Stereo Bluetooth Headphones New Generation M370 Orange,Wide World Importers,Orange,$61.16 ,$132.99 ,106,Bluetooth Headphones,1,Audio,272.0,90.0,36173.28,2025-12-27,3.022222222222222,416,0
110,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Wide World Importers,Blue,$61.16 ,$132.99 ,106,Bluetooth Headphones,1,Audio,237.0,73.0,31518.63,2025-12-18,3.2465753424657535,492,0
111,WWI Wireless Transmitter and Bluetooth Headphones X250 Black,Wide World Importers,Black,$82.83 ,$249.99 ,106,Bluetooth Headphones,1,Audio,266.0,81.0,66497.34,2025-12-28,3.2839506172839505,173,1
112,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Blue,$82.83 ,$249.99 ,106,Bluetooth Headphones,1,Audio,220.0,73.0,54997.8,2025-12-09,3.0136986301369864,234,1
113,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,White,$82.83 ,$249.99 ,106,Bluetooth Headphones,1,Audio,292.0,88.0,72997.08,2025-12-23,3.3181818181818183,151,1
114,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Red,$82.83 ,$249.99 ,106,Bluetooth Headphones,1,Audio,296.0,105.0,73997.04000000001,2025-12-28,2.8190476190476192,149,1
115,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,Wide World Importers,Silver,$82.83 ,$249.99 ,106,Bluetooth Headphones,1,Audio,277.0,82.0,69247.23,2025-12-26,3.3780487804878048,161,1
116,"Adventure Works 20"" CRT TV E15 Silver",Adventure Works,Silver,$86.67 ,$169.99 ,201,Televisions,2,TV and Video,114.0,32.0,19378.86,2025-11-24,3.5625,758,0
117,"Adventure Works 20"" CRT TV E15 Black",Adventure Works,Black,$86.67 ,$169.99 ,201,Televisions,2,TV and Video,115.0,40.0,19548.850000000002,2025-11-11,2.875,753,0
118,"Adventure Works 20"" CRT TV E15 White",Adventure Works,White,$86.67 ,$169.99 ,201,Televisions,2,TV and Video,113.0,40.0,19208.870000000003,2025-12-09,2.825,765,0
119,"Adventure Works 13"" Color TV E25 Silver",Adventure Works,Silver,$61.17 ,$119.99 ,201,Televisions,2,TV and Video,114.0,36.0,13678.859999999999,2025-12-22,3.1666666666666665,943,0
120,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,$61.17 ,$119.99 ,201,Televisions,2,TV and Video,116.0,39.0,13918.839999999998,2025-12-20,2.9743589743589745,941,0
121,"Adventure Works 13"" Color TV E25 White",Adventure Works,White,$61.17 ,$119.99 ,201,Televisions,2,TV and Video,96.0,34.0,11519.039999999999,2025-12-13,2.823529411764706,1040,0
122,"Adventure Works 19"" Portable LCD HDTV M110 Silver",Adventure Works,Silver,$128.76 ,$279.99 ,201,Televisions,2,TV and Video,120.0,32.0,33598.8,2025-12-17,3.75,450,0
123,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,$128.76 ,$279.99 ,201,Televisions,2,TV and Video,111.0,34.0,31078.89,2025-12-19,3.264705882352941,499,0
124,"Adventure Works 19"" Portable LCD HDTV M110 White",Adventure Works,White,$128.76 ,$279.99 ,201,Televisions,2,TV and Video,117.0,38.0,32758.83,2025-12-23,3.0789473684210527,469,0
125,"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Silver,$73.11 ,$143.40 ,201,Televisions,2,TV and Video,94.0,35.0,13479.6,2025-12-04,2.6857142857142855,952,0
126,"Adventure Works 19"" Color Digital TV E35 Black",Adventure Works,Black,$73.11 ,$143.40 ,201,Televisions,2,TV and Video,132.0,36.0,18928.800000000003,2025-11-19,3.6666666666666665,775,0
127,"Adventure Works 19"" Color Digital TV E35 White",Adventure Works,White,$73.11 ,$143.40 ,201,Televisions,2,TV and Video,107.0,33.0,15343.800000000001,2025-12-29,3.242424242424242,883,0
128,"Adventure Works 19"" Color Digital TV E35 Brown",Adventure Works,Brown,$73.11 ,$143.40 ,201,Televisions,2,TV and Video,139.0,42.0,19932.600000000002,2025-12-27,3.3095238095238093,742,0
129,"Adventure Works 20"" Analog CRT TV E45 Silver",Adventure Works,Silver,$101.97 ,$200.00 ,201,Televisions,2,TV and Video,95.0,24.0,19000.0,2025-11-12,3.9583333333333335,771,0
130,"Adventure Works 20"" Analog CRT TV E45 Black",Adventure Works,Black,$101.97 ,$200.00 ,201,Televisions,2,TV and Video,64.0,27.0,12800.0,2025-11-11,2.3703703703703702,983,0
131,"Adventure Works 20"" Analog CRT TV E45 White",Adventure Works,White,$101.97 ,$200.00 ,201,Televisions,2,TV and Video,95.0,34.0,19000.0,2025-12-29,2.7941176470588234,771,0
132,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Brown,$101.97 ,$200.00 ,201,Televisions,2,TV and Video,91.0,33.0,18200.0,2025-12-05,2.757575757575758,794,0
133,"Adventure Works 20"" LCD HDTV M120 Silver",Adventure Works,Silver,$160.93 ,$349.95 ,201,Televisions,2,TV and Video,115.0,32.0,40244.25,2025-12-29,3.59375,362,0
134,"Adventure Works 20"" LCD HDTV M120 Black",Adventure Works,Black,$160.93 ,$349.95 ,201,Televisions,2,TV and Video,104.0,27.0,36394.799999999996,2025-11-20,3.8518518518518516,413,0
135,"Adventure Works 20"" LCD HDTV M120 White",Adventure Works,White,$160.93 ,$349.95 ,201,Televisions,2,TV and Video,130.0,37.0,45493.5,2025-12-16,3.5135135135135136,296,0
136,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Brown,$160.93 ,$349.95 ,201,Televisions,2,TV and Video,83.0,32.0,29045.85,2025-12-29,2.59375,540,0
